Id,SalePrice
1461,126265.445
1462,178519.94
1463,180389.23
1464,182471.48
1465,194036.03
1466,174580.94
1467,176653.45
1468,171656.61
1469,181128.67
1470,130175.93
1471,199613.48
1472,101844.49
1473,110946.195
1474,158325.98
1475,123165.86
1476,501684.22
1477,271579.5
1478,312671.47
1479,232641.6
1480,501708.66
1481,320338.06
1482,201484.08
1483,176784.94
1484,179604.08
1485,175336.5
1486,198421.5
1487,371499.22
1488,244849.27
1489,231084.6
1490,192479.25
1491,179805.69
1492,87390.22
1493,201166.86
1494,298148.44
1495,293766.84
1496,250183.16
1497,189776.69
1498,157946.25
1499,155512.28
1500,149087.08
1501,173378.4
1502,154620.11
1503,344649.44
1504,241233.55
1505,225932.61
1506,184729.55
1507,219755.6
1508,204927.6
1509,160845.66
1510,148772.67
1511,142379.12
1512,172783.33
1513,153625.25
1514,166458.81
1515,160196.6
1516,162124.78
1517,147086.8
1518,122180.67
1519,227581.11
1520,140843.17
1521,135902.6
1522,170547.23
1523,112838.33
1524,118202.86
1525,127525.23
1526,124082.47
1527,106990.88
1528,121382.82
1529,147121.58
1530,163921.02
1531,142570.77
1532,100523.13
1533,142715.47
1534,110650.76
1535,145059.4
1536,112405.95
1537,77251.414
1538,177541.56
1539,166181.14
1540,93929.93
1541,150216.84
1542,151766.72
1543,230880.75
1544,75665.87
1545,107574.37
1546,137543.22
1547,141589.7
1548,145235.97
1549,121161.83
1550,152115.78
1551,111899.73
1552,138774.14
1553,145576.72
1554,111910.35
1555,176908.66
1556,119913.54
1557,102945.95
1558,97032.83
1559,120921.72
1560,136553.67
1561,148149.02
1562,125268.23
1563,135604.56
1564,155477.27
1565,147537.45
1566,214304.1
1567,72604.29
1568,248586.61
1569,154090.16
1570,126490.97
1571,122723.805
1572,147783.4
1573,252095.33
1574,140645.73
1575,213897.69
1576,236275.78
1577,202539.95
1578,153111.94
1579,145327.66
1580,199871.25
1581,134106.97
1582,129142.93
1583,315741.7
1584,242739.73
1585,141466.56
1586,63027.863
1587,97414.484
1588,159440.66
1589,86076.41
1590,131718.83
1591,105497.164
1592,123194.586
1593,116015.81
1594,157053.16
1595,136241.3
1596,243289.55
1597,161528.56
1598,190217.05
1599,205901.38
1600,184781.97
1601,76875.836
